,vaihingen_train_coordinate_list_method1,ai4gg_complexity,vaihingen_train_coordinate_list_method2,ai4gg_hybrid,ai4gg_diversity,vaihingen_train_coordinate_list_hybrid
top_mosaic_09cm_area26_dsm_09cm_matching_area26_top_mosaic_09cm_area26_800_1600,0.877237778620337,0.2573426573426574,0.095737246680643,0.5615384615384615,0.5618448637316562,0.486487513
top_mosaic_09cm_area23_dsm_09cm_matching_area23_top_mosaic_09cm_area23_200_800,0.934342341653309,0.7272727272727273,0.549266247379455,0.8118881118881118,0.8120195667365478,0.741804295
top_mosaic_09cm_area1_dsm_09cm_matching_area1_top_mosaic_09cm_area1_1600_1663,0.780716919636757,0.4062937062937063,0.512928022361985,0.220979020979021,0.1502445842068483,0.646822471
top_mosaic_09cm_area23_dsm_09cm_matching_area23_top_mosaic_09cm_area23_1400_800,0.868787795215469,0.7468531468531469,0.414395527603075,0.3909090909090909,0.0726764500349406,0.641591661
top_mosaic_09cm_area3_dsm_09cm_matching_area3_top_mosaic_09cm_area3_2000_400,0.889749518844882,0.7580419580419581,0.299091544374563,0.5846153846153845,0.5849056603773585,0.594420532
top_mosaic_09cm_area23_dsm_09cm_matching_area23_top_mosaic_09cm_area23_1400_1400,0.888699114708515,0.4601398601398602,0.099930118798043,0.2496503496503496,0.4018169112508735,0.494314617
top_mosaic_09cm_area23_dsm_09cm_matching_area23_top_mosaic_09cm_area23_600_600,0.879302366810237,0.2657342657342657,0.980433263452131,0.8874125874125874,0.8874912648497554,0.929867815
top_mosaic_09cm_area21_dsm_09cm_matching_area21_top_mosaic_09cm_area21_2200_200,0.770335176746598,0.5587412587412588,0.109713487071978,0.2993006993006992,0.3983228511530398,0.440024332
top_mosaic_09cm_area7_dsm_09cm_matching_area7_top_mosaic_09cm_area7_600_1631,0.608027193403551,0.1251748251748251,0.805730258560447,0.0587412587412587,0.3584905660377358,0.706878726
top_mosaic_09cm_area17_dsm_09cm_matching_area17_top_mosaic_09cm_area17_0_800,0.663470674965991,0.216083916083916,0.859538784067086,0.879020979020979,0.8791055206149546,0.76150473
top_mosaic_09cm_area7_dsm_09cm_matching_area7_top_mosaic_09cm_area7_2000_1631,0.894270443729343,0.3188811188811189,0.071278825995807,0.1783216783216783,0.3410202655485674,0.482774635
top_mosaic_09cm_area13_dsm_09cm_matching_area13_top_mosaic_09cm_area13_2000_200,0.86815614435599,0.6328671328671329,0.086652690426275,0.3356643356643356,0.2459818308874912,0.477404417
top_mosaic_09cm_area26_dsm_09cm_matching_area26_top_mosaic_09cm_area26_1527_1000,0.753073269919214,0.7027972027972028,0.482879105520615,0.3713286713286713,0.5059399021663172,0.617976188
top_mosaic_09cm_area3_dsm_09cm_matching_area3_top_mosaic_09cm_area3_800_1000,0.739913002210936,0.3909090909090909,0.282320055904962,0.5265734265734265,0.5269042627533194,0.511116529
